,S_Pedro,S_Santiago,S_Juan,S_Andrés,S_Bartolomé,S_Tiago,S_Isca,S_Tadeo,S_Mateo,S_Felipe,S_Simón,S_Tomás
2020-09-23 14:00:00,-1.0,0.0,1.0,-1.0,1.0,0.0,-1.0,-1.0,0.0,1.0,1.0,0.0
2020-09-23 14:01:00,-1.5,0.0,0.5,-0.5,1.0,0.0,-1.0,-1.5,0.5,1.5,0.5,0.5
2020-09-23 14:02:00,-1.6666666666666667,0.0,0.3333333333333333,-0.6666666666666666,0.6666666666666666,-0.3333333333333333,-0.6666666666666666,-1.3333333333333333,0.3333333333333333,1.3333333333333333,0.0,1.0
2020-09-23 14:03:00,-2.0,0.0,0.25,-0.75,0.5,-0.5,-0.5,-1.25,0.25,1.5,-0.5,1.5
2020-09-23 14:04:00,-2.4,0.0,0.2,-0.6,0.2,-0.4,-0.2,-1.0,0.4,1.4,-0.6,1.6
2020-09-23 14:05:00,-2.8333333333333335,0.16666666666666666,0.0,-0.3333333333333333,0.0,-0.16666666666666666,-0.16666666666666666,-0.6666666666666666,0.3333333333333333,1.5,-0.6666666666666666,1.6666666666666667
2020-09-23 14:06:00,-3.0,0.14285714285714285,0.0,-0.2857142857142857,-0.14285714285714285,-0.14285714285714285,-0.2857142857142857,-0.2857142857142857,0.2857142857142857,1.5714285714285714,-0.8571428571428571,1.7142857142857142
2020-09-23 14:07:00,-3.25,0.0,0.125,-0.25,-0.125,-0.125,-0.5,0.125,0.375,1.75,-1.0,1.875
2020-09-23 14:08:00,-3.4444444444444446,0.0,0.3333333333333333,-0.2222222222222222,0.0,-0.2222222222222222,-0.6666666666666666,0.5555555555555556,0.5555555555555556,1.8888888888888888,-1.0,1.8888888888888888
2020-09-23 14:09:00,-3.5,0.1,0.6,-0.2,0.2,-0.3,-0.8,0.8,0.8,1.9,-1.0,1.9
2020-09-23 14:10:00,-3.4545454545454546,0.18181818181818182,0.9090909090909091,-0.18181818181818182,0.2727272727272727,-0.36363636363636365,-1.0,1.0909090909090908,1.0,2.0,-1.0,2.0
2020-09-23 14:11:00,-3.4166666666666665,0.25,1.25,-0.25,0.3333333333333333,-0.3333333333333333,-1.25,1.3333333333333333,1.0833333333333333,2.0,-0.9166666666666666,2.1666666666666665
2020-09-23 14:12:00,-3.3076923076923075,0.38461538461538464,1.5384615384615385,-0.38461538461538464,0.38461538461538464,-0.3076923076923077,-1.4615384615384615,1.5384615384615385,1.1538461538461537,1.9230769230769231,-0.7692307692307693,2.230769230769231
2020-09-23 14:13:00,-3.2142857142857144,0.42857142857142855,1.7857142857142858,-0.42857142857142855,0.35714285714285715,-0.2857142857142857,-1.6428571428571428,1.6428571428571428,1.2142857142857142,1.8571428571428572,-0.7142857142857143,2.357142857142857
2020-09-23 14:14:00,-3.2,0.5333333333333333,2.0,-0.4,0.26666666666666666,-0.2,-1.8,1.7333333333333334,1.3333333333333333,1.8666666666666667,-0.7333333333333333,2.466666666666667
2020-09-23 14:15:00,-3.1875,0.625,2.125,-0.3125,0.1875,-0.0625,-1.875,1.8125,1.375,1.875,-0.8125,2.5625
2020-09-23 14:16:00,-3.176470588235294,0.6470588235294118,2.235294117647059,-0.23529411764705882,0.17647058823529413,0.0,-1.9411764705882353,1.9411764705882353,1.4705882352941178,1.9411764705882353,-0.8235294117647058,2.7058823529411766
2020-09-23 14:17:00,-3.2222222222222223,0.6111111111111112,2.388888888888889,-0.1111111111111111,0.1111111111111111,0.1111111111111111,-1.9444444444444444,2.0555555555555554,1.5,1.9444444444444444,-0.8333333333333334,2.888888888888889
2020-09-23 14:18:00,-3.3157894736842106,0.631578947368421,2.473684210526316,0.0,0.05263157894736842,0.21052631578947367,-1.894736842105263,2.1052631578947367,1.5263157894736843,1.894736842105263,-0.7894736842105263,3.0526315789473686
2020-09-23 14:19:00,-3.4,0.7,2.55,0.05,0.05,0.25,-1.85,2.2,1.55,1.8,-0.75,3.25
